sp_code,DE,LMA,Nmass,Aarea,Rdmass
TRIMAR,E,61.66,2.168,NA,NA
TRIMEX,E,95.499,1.807,NA,NA
TROMEX,E,64.565,1.687,NA,NA
TUROCC,E,81.283,1.117,NA,NA
URECAR,E,57.544,2.831,NA,NA
UREELA,E,39.811,1.371,NA,NA
VATLUN,E,85.114,1.552,NA,NA
VOCGUA,E,112.202,1.059,NA,NA
ZANKEL,D,66.069,2.084,NA,NA
QUEFAL,D,131.826,1.469,16.596,NA
QUEHEM,E,134.896,1.211,12.589,NA
QUEINC,E,107.152,0.951,14.454,NA
QUELAU,E,125.893,1.321,13.49,NA
QUELAE,D,109.648,1.531,13.49,NA
QUEMYR,E,125.893,1.021,8.511,NA
QUENIG,E,128.825,1.291,13.49,NA
QUESHU,D,97.724,1.679,15.136,NA
QUEPUM,E,120.226,1.009,15.136,NA
QUESTE,D,141.254,1.73,17.378,NA
QUEMAR,D,109.648,1.6,17.378,NA
QUEMIC,D,162.181,0.889,19.055,NA
QUEAUS,D,114.815,1.941,14.791,NA
QUECHA,E,114.815,1.39,8.913,NA
QUEGEM,E,223.872,0.871,20.893,NA
QUEMIN,E,102.329,1.778,12.882,NA
QUEVIR,E,147.911,1.321,22.387,NA
ARBAND,E,45.709,NA,NA,NA
ARBUNE,E,44.668,NA,NA,NA
QUECOC,E,46.774,NA,NA,NA
PISLEN,E,45.709,NA,NA,NA
CERSIL,E,48.978,NA,NA,NA
MYRCOM,E,72.444,NA,NA,NA
OLEEUR,E,43.652,NA,NA,NA
PHIMED,E,58.884,NA,NA,NA
QUEILE,E,79.433,NA,NA,NA
LAUNOB,E,81.283,NA,NA,NA
NEROLE,E,48.978,NA,NA,NA
DACBEC,NA,NA,0.889,NA,NA
EUGCAU,NA,NA,0.65,NA,NA
EUGSTA,NA,NA,0.859,NA,NA
EURLON,NA,NA,NA,NA,NA
FICDEL,NA,NA,1.321,NA,NA
PODNER,NA,NA,0.69,NA,NA
SPORAD,D,NA,2.649,NA,NA
ANNSPR,NA,NA,2.198,NA,NA
DESPAN,NA,NA,2.208,NA,NA
GUADUM,E,NA,2.35,NA,NA
ASPMEG,E,NA,1.291,NA,NA
JACCOP,NA,NA,2.339,NA,NA
TABROS,NA,NA,2.339,NA,NA
OCHPYR,E,NA,2.228,NA,NA
QUAAST,NA,NA,2.46,NA,NA
CORALL,D,NA,3.097,NA,NA
PROTEN,E,NA,1.71,NA,NA
TETPAN,E,NA,1.56,NA,NA
TRAASP,NA,NA,2.228,NA,NA
PRICOP,E,NA,2.148,NA,NA
SWASIM,E,NA,2.588,NA,NA
TACVER,E,NA,2.259,NA,NA
HIRTRI,E,NA,1.811,NA,NA
ALCCOS,NA,NA,2.317,NA,NA
CROBIL,NA,NA,2.71,NA,NA
HYEALC,NA,NA,2.432,NA,NA
SAPAUC,NA,NA,3.048,NA,NA
CASARB,NA,NA,2.818,NA,NA
ZUEGUI,NA,NA,1.991,NA,NA
CALLON,E,NA,1.169,NA,NA
MICARG,NA,NA,1.671,NA,NA
GUAGLA,E,NA,3.097,NA,NA
GUAMUL,E,NA,2.399,NA,NA
TRICIP,E,NA,2.061,NA,NA
CECINS,NA,NA,2.08,NA,NA
CECOBT,NA,NA,2.951,NA,NA
POUARM,E,NA,1.6,NA,NA
VIRSEB,E,NA,2.71,NA,NA
ALSBLA,NA,NA,2.972,NA,NA
FAROCC,E,NA,1.611,NA,NA
MACGLA,NA,NA,2.35,NA,NA
ZANEKM,NA,NA,2.679,NA,NA
ZANPAN,NA,NA,2.818,NA,NA
CUPRUF,E,NA,1.871,NA,NA
CUPSYL,E,NA,2.57,NA,NA
CHRARG,NA,NA,1.799,NA,NA
POURET,E,NA,2.917,NA,NA
SIMAMA,NA,NA,2.36,NA,NA
APEASP,NA,NA,2.188,NA,NA
APETIB,NA,NA,2.642,NA,NA
LUESEE,D,NA,2.618,NA,NA
TREMIC,E,NA,2.891,NA,NA
ACEPLA,D,57.544,2.355,NA,NA
ACEPSE,D,75.858,2.844,NA,NA
AESHIP,D,72.444,2.355,NA,NA
ALNGLU,D,69.183,3.54,NA,NA
ARBUNE,E,93.325,2.301,NA,NA
BERVUL,D,75.858,2.296,NA,NA
BETPEN,D,72.444,2.754,NA,NA
BUDDAV,D,81.283,1.982,NA,NA
BUXSEM,E,109.648,2.089,NA,NA
CALVUL,E,60.256,1.476,NA,NA
CASSAT,D,75.858,2.377,NA,NA
CORSAN,D,61.66,2.123,NA,NA
CORAVE,D,67.608,2.455,NA,NA
CRAMON,D,87.096,1.791,NA,NA
CYTSCO,E,61.66,2.924,NA,NA
DAPMEZ,D,44.668,2.529,NA,NA
DRYOCT,E,64.565,1.928,NA,NA
EMPNIG,E,100,1.327,NA,NA
ERICIN,E,89.125,1.419,NA,NA
EUOEUR,D,64.565,2.449,NA,NA
FAGSYL,D,81.283,2.388,NA,NA
FRAALN,D,47.863,2.851,NA,NA
FRAEXC,D,77.625,2.57,NA,NA
HEBX F,E,87.096,1.845,NA,NA
HEDHEL,E,72.444,1.393,NA,NA
HELNUM,E,75.858,2.254,NA,NA
HIPRHA,D,79.433,3.041,NA,NA
ILEAQU,E,128.825,1.607,NA,NA
JUGREG,D,69.183,2.193,NA,NA
LABANA,D,56.234,3.404,NA,NA
LARDEC,D,109.648,2.254,NA,NA
LIGVUL,E,100,1.578,NA,NA
LONPER,D,70.795,2.259,NA,NA
MALSYL,D,85.114,2.173,NA,NA
PICSIT,E,154.882,1.306,NA,NA
PINSYL,E,141.254,1.675,NA,NA
PRULAU,E,120.226,1.614,NA,NA
PRULUS,E,141.254,1.167,NA,NA
PRUSPI,D,69.183,3.034,NA,NA
QUECER,D,100,2.735,NA,NA
QUEILE,E,158.489,2.344,NA,NA
QUEPET,D,74.131,2.57,NA,NA
QUEROB,D,75.858,2.871,NA,NA
QUERUB,D,57.544,2.265,NA,NA
RHACAT,D,54.954,3.02,NA,NA
RHOPON,E,117.49,1.033,NA,NA
RIBNIG,D,66.069,1.845,NA,NA
RIBUVA,D,60.256,2.239,NA,NA
ROBPSE,D,50.119,2.972,NA,NA
ROSARV,D,44.668,2.404,NA,NA
RUBFRU,E,64.565,2.518,NA,NA
SALCAP,D,69.183,2.704,NA,NA
SAMNIG,D,52.481,3.327,NA,NA
SOLDUL,D,26.915,3.837,NA,NA
SORAUC,D,72.444,2.529,NA,NA
TAXBAC,E,117.49,2.388,NA,NA
THYPOL,E,63.096,1.629,NA,NA
ULEEUR,E,89.125,3.192,NA,NA
ULEGAL,E,138.038,2.259,NA,NA
ULMGLA,D,75.858,2.183,NA,NA
VACMYR,D,54.954,1.71,NA,NA
VACOXY,E,100,1.535,NA,NA
VACVIT,E,138.038,1.122,NA,NA
VIBOPU,D,63.096,2.393,NA,NA
VIBTIN,E,117.49,1.186,NA,NA
AMEALN,NA,107.152,1.82,16.596,NA
ARTTRI,NA,169.824,1.432,7.413,NA
JUNOST,NA,645.654,0.757,3.09,NA
PINJEF,NA,331.131,1.079,10.715,NA
PINMON,NA,741.31,0.895,6.761,NA
PINPON,NA,316.228,0.966,7.244,NA
PURTRI,NA,NA,2.366,NA,NA
LYOLUC,E,173.78,0.7,7.762,NA
CYRRAC,E,102.329,1.259,10.965,NA
LEURAC,D,89.125,0.979,7.079,NA
ITEVIR,D,70.795,1.119,6.31,NA
CLEALN,D,85.114,1.259,8.318,NA
ACHERB,NA,44.668,4.624,16.218,NA
ARAALP,NA,38.019,2.938,NA,NA
ARACAE,NA,47.863,3.199,NA,NA
ARTGEN,NA,41.687,2.979,NA,NA
CAMBAR,NA,52.481,2.27,NA,NA
CERUNI,NA,31.623,2.612,NA,NA
DORCLU,NA,48.978,4.036,20.893,NA
ERIUNI,NA,47.863,3.304,22.387,NA
GENBAV,NA,58.884,1.622,NA,NA
GENKOC,NA,66.069,1.361,NA,NA
GEUMON,NA,70.795,2.472,14.791,NA
GEUREP,NA,70.795,2.588,13.804,NA
LEOHIS,NA,50.119,3.17,NA,NA
LEUALP,NA,63.096,2.36,10.965,NA
LIGMUT,NA,79.433,3.622,23.988,NA
LINALP,NA,39.811,2.382,NA,NA
LUZALP,NA,67.608,2.979,14.791,NA
OXYDIG,D,25.704,4.55,16.218,NA
PEDASP,NA,52.481,2.812,20.417,NA
POALAX,NA,39.811,4.315,NA,NA
POLVIV,NA,70.795,3.917,20.417,NA
POTAUR,NA,47.863,2.46,NA,NA
POTCRA,D,60.256,3.281,16.218,NA
POTFRI,NA,52.481,2.5,NA,NA
PRIGLU,NA,72.444,2.679,12.303,NA
RANGLA,NA,61.66,3.381,19.498,NA
SENINC,NA,66.069,2.042,NA,NA
SIBPRO,D,58.884,1.871,NA,NA
TARALP,NA,36.308,2.938,10.715,NA
VERALP,NA,37.154,2.312,NA,NA
VERBEL,NA,100,1.191,NA,NA
ACHMIL,NA,52.481,3.192,17.783,NA
ALCVER,NA,26.915,2.897,NA,NA
ARAHIR,NA,50.119,2,NA,NA
CALPAL,NA,32.359,NA,NA,NA
CAMGLO,NA,37.154,2.698,NA,NA
CARCAR,NA,38.019,3.499,19.055,NA
CERARV,NA,100,3.499,NA,NA
CHRLEU,NA,52.481,2.838,22.909,NA
ERIACR,NA,56.234,2.099,NA,NA
GEURIV,NA,52.481,2.432,12.589,NA
LEOHIS,NA,43.652,2,NA,NA
LYCFLO,NA,44.668,1.4,NA,NA
POLBIS,NA,37.154,2.388,NA,NA
POTANS,NA,52.481,3.09,20.417,NA
POTREP,NA,34.674,3.499,NA,NA
POTVER,NA,58.884,2.198,NA,NA
PRIELA,NA,41.687,2.46,10.715,NA
PRIFAR,NA,44.668,1.698,NA,NA
RANACR,NA,63.096,2.366,16.218,NA
RANBUL,NA,56.234,2.911,NA,NA
RANFIC,NA,32.359,3.304,NA,NA
RANNEM,NA,67.608,2,NA,NA
